step,"Flow: (0.04) S -> I, 
inducing by: I, ","Flow: (0.01) I -> R, 
 not inducing"
309,"0,04979084951806839","0,22789163235663135"
310,"0,04895585554869172","0,22611062452824573"
311,"0,048137333842002264","0,22433907683845017"
312,"0,04733492333312486","0,2225770594084857"
313,"0,04654827113061488","0,22082463804773209"
314,"0,04577703234687227","0,21908187437856094"
315,"0,04502086993061201","0,21734882595824406"
316,"0,04427945450147657","0,21562554639796772"
317,"0,04355246418686575","0,21391208547900284"
318,"0,04283958446104978","0,2122084892660815"
319,"0,04214050798662296","0,21051480021803115"
320,"0,04145493445834685","0,20883105729571708"
321,"0,040782570449424384","0,20715729606734334"
322,"0,04012312926023923","0,20549354881116416"
323,"0,03947633076958832","0,2038398446156549"
324,"0,03884190128842904","0,20219620947719424"
325,"0,038219573416157455","0,2005626663953066"
326,"0,03760908589942816","0,1989392354655151"
327,"0,03701018349352199","0,19732593396985423"
328,"0,036422616826263264","0,1957227764650909"
329,"0,03584614226448405","0,19412977486870264"
330,"0,03528052178302924","0,19254693854266047"
331,"0,03472552283629304","0,1909742743750642"
332,"0,03418091823227389","0,18941178685967647"
333,"0,03364648600913242","0,18785947817340243"
334,"0,033122009314233945","0,18631734825175975"
335,"0,0326072762856553","0,18478539486238452"
336,"0,032102079936132955","0,18326361367661723"
337,"0,03160621803942787","0,1817519983392124"
338,"0,031119493019080725","0,18025054053621456"
339,"0,03064171183952952","0,17875923006104322"
340,"0,030172685899560268","0,17727805487882808"
341,"0,029712230928060093","0,1758070011890354"
342,"0,029260166882041295","0,17434605348642562"
343,"0,02881631784690359","0,1728951946203818"
344,"0,028380511938901388","0,171454405852647"
345,"0,027952581209781828","0,17002366691350956"
346,"0,027532361553559065","0,16860295605647233"
347,"0,027119692615389657","0,16719225011144317"
348,"0,026714417702513517","0,16579152453648263"
349,"0,02631638369722471","0,16440075346814292"
350,"0,025925440971836022","0,16301990977043374"
351,"0,025541443305601243","0,16164896508244778"
352,"0,02516424780355889","0,16028788986467932"
353,"0,024793714817261236","0,1589366534440681"
354,"0,02442970786735244","0,15759522405780005"
355,"0,024072093567959738","0,15626356889589554"
356,"0,02372074155286189","0,1549416541426162"
357,"0,023375524403399055","0,15362944501671866"
358,"0,0230363175780888","0,15232690581058544"
359,"0,02270299934391297","0,1510339999282605"
360,"0,02237545070924064","0,149750689922417"
361,"0,022053555358352593","0,14847693753028524"
362,"0,021737199587533187","0,14721270370856593"
363,"0,02142627224269587","0,1459579486673556"
364,"0,021120664658509033","0,144712631903109"
365,"0,02082027059898921","0,143476712230663"
366,"0,0205249861995293","0,14225014781434625"
367,"0,020234709910329687","0,1410328961981981"
368,"0,019949342441200845","0,1398249143353194"
369,"0,019668786707706335","0,13862615861637823"
370,"0,019392947778615728","0,1374365848972915"
371,"0,019121732824637343","0,13625614852610476"
372,"0,018855051068401376","0,13508480436909007"
373,"0,018592813735664356","0,1339225068360832"
374,"0,018334934007706444","0,132769209905079"
375,"0,01808132697489368","0,13162486714610527"
376,"0,017831909591377634","0,13048943174439315"
377,"0,017586600630905624","0,129362856522863"
378,"0,01734532064371507","0,12824509396394343"
379,"0,017107991914486118","0,12713609623074112"
380,"0,01687453842132716","0,1260358151875786"
381,"0,016644885795768394","0,12494420241991608"
382,"0,016418961283739156","0,1238612092536746"
383,"0,016196693707505122","0,12278678677397524"
384,"0,01597801342854207","0,12172088584331053"
385,"0,015762852311323475","0,12066345711916285"
386,"0,01555114368799944","0,11961445107108447"
387,"0,015342822323945281","0,1185738179972536"
388,"0,015137824384158305","0,1175415080405205"
389,"0,014936087400481945","0,11651747120395689"
390,"0,014737550239636807","0,11550165736592213"
391,"0,014542153072038688","0,11449401629465929"
392,"0,014349837341384081","0,1134944976624331"
393,"0,014160545734984075","0,1125030510592226"
394,"0,013974222154828077","0,11151962600598023"
395,"0,01379081168935916","0,1105441719674687"
396,"0,013610260585943307","0,10957663836468762"
397,"0,013432516224015157","0,10861697458690017"
398,"0,013257527088883449","0,10766513000327133"
399,"0,013085242746179476","0,10672105397412746"
400,"0,01291561381693261","0,10578469586184797"
401,"0,012748591953257025","0,10485600504139882"
402,"0,012584129814634302","0,1039349309105174"
403,"0,012422181044776999","0,10302142289955857"
404,"0,012262700249058458","0,10211543048101074"
405,"0,012105642972494666","0,10121690317869123"
406,"0,011950965678264244","0,10032579057662926"
407,"0,011798625726753014","0,09944204232764561"
408,"0,011648581355109836","0,09856560816163669"
409,"0,01150079165730094","0,09769643789357141"
410,"0,011355216564650076","0,09683448143120871"
411,"0,011211816826852225","0,09597968878254312"
412,"0,011070553993448954","0,09513201006298622"
413,"0,010931390395753717","0,09429139550229083"
414,"0,01079428912921576","0,09345779545122547"
415,"0,010659214036211527","0,09263116038800537"
416,"0,010526129689252761","0,09181144092448743"
417,"0,010395001374600834","0,09099858781213507"
418,"0,010265795076276936","0,09019255194775973"
419,"0,010138477460458251","0,0893932843790449"
420,"0,010013015860250251","0,08860073630985904"
421,"0,009889378260825716","0,08781485910536295"
422,"0,00976753328492115","0,08703560429691759"
423,"0,009647450178681604","0,08626292358679763"
424,"0,009529098797845137","0,08549676885271647"
425,"0,009412449594258313","0,08473709215216775"
426,"0,009297473602714398","0,08398384572658867"
427,"0,009184142428106177","0,08323698200534992"
428,"0,009072428232885397","0,08249645360957748"
429,"0,008962303724821166","0,08176221335581056"
430,"0,008853742145049786","0,08103421425950068"
431,"0,008746717256408671","0,08031240953835615"
432,"0,008641203332047253","0,07959675261553668"
433,"0,008537175144307877","0,07888719712270179"
434,"0,008434607953869955","0,07818369690291785"
435,"0,008333477499150756","0,07748620601342736"
436,"0,008233759985956398","0,0767946787282846"
437,"0,008135432077376822","0,07610906954086132"
438,"0,008038470883918587","0,07542933316622646"
439,"0,0079428539538696","0,07475542454340339"
440,"0,007848559263889948","0,07408729883750804"
441,"0,0077555652098232255","0,07342491144177186"
442,"0,007663850597722839","0,07276821797945238"
443,"0,007573394635087958","0,07211717430563509"
444,"0,007484176922303878","0,07147173650892961"
445,"0,007396177444281735","0,07083186091306336"
446,"0,007309376562292603","0,07019750407837554"
447,"0,007223755005991196","0,06956862280321471"
448,"0,007139293865624405","0,06894517412524247"
449,"0,007055974584420194","0,06832711532264629"
450,"0,006973778951152297","0,06771440391526404"
451,"0,00689268909287645","0,0671069976656229"
452,"0,0068126874678339135","0,06650485457989545"
453,"0,006733756858518114","0,06590793290877482"
454,"0,006655880364900477","0,06531619114827227"
455,"0,006579041397811454","0,06472958804043855"
456,"0,006503223672473001","0,06414808257401228"
457,"0,00642841120217876","0,06357163398499688"
458,"0,00635458829211833","0,06300020175716871"
459,"0,006281739533342124","0,062433745622518196"
460,"0,006209849796863345","0,06187222556162644"
461,"0,006138904227893776","0,06131560180397881"
462,"0,006068888240210089","0,06076383482821796"
463,"0,00599978751064753","0,06021688536233789"
464,"0,005931587973717839","0,059674714383820986"
465,"0,0058642758163484545","0,059137283119719955"
466,"0,005797837472739997","0,058604553046686235"
467,"0,005732259619339229","0,05807648589094677"
468,"0,00566752916992465","0,0575530436282307"
469,"0,005603633270802048","0,05703418848364764"
470,"0,005540559296107317","0,05651988293151918"
471,"0,005478294843214021","0,05601008969516506"
472,"0,00541682772824311","0,05550477174664556"
473,"0,005356145981672392","0,05500389230646153"
474,"0,005296237844043368","0,054507414843213635"
475,"0,005237091761763056","0,054015303073221936"
476,"0,005178696382998589","0,05352752096010734"
477,"0,00512104055366234","0,053044032714336255"
478,"0,005064113313485433","0,05256480279272952"
479,"0,005007903892177509","0,05208979589793709"
480,"0,004952401705670748","0,05161897697787948"
481,"0,004897596352446112","0,0511523112251574"
482,"0,004843477609939852","0,05068976407643028"
483,"0,004790035431028423","0,05023130121176538"
484,"0,004737259940589921","0,04977688855395802"
485,"0,004685141432140245","0,04932649226782433"
486,"0,00463367036454224","0,04888007875946749"
487,"0,004582837358786083","0,048437614675518235"
488,"0,004532633194839258","0,047999066902350916"
489,"0,0044830488085644835","0,04756440256527579"
490,"0,004434075288704001","0,047133589027708686"
491,"0,004385703873928672","0,046706593890318636"
492,"0,004337925949950388","0,04628338499015474"
493,"0,004290733046696289","0,045863930399752686"
494,"0,004244116835543397","0,04544819842622212"
495,"0,004198069126612212","0,04503615761031534"
496,"0,004152581866117945","0,04462777672547831"
497,"0,00410764713377804","0,044223024776884716"
498,"0,004063257140274671","0,04382187100045364"
499,"0,004019404224770976","0,043424284861851854"
500,"0,003976080852479763","0,043030236055481036"
