step,S,E,I,R
188,"84,49826800384581","8,920921151324542","5,45552881614549","2,1252820286840852"
189,"84,31570058364407","9,014279360013026","5,517460383578008","2,152559672764813"
190,"84,13145957862075","9,108377571436215","5,580015875260249","2,1801469746827027"
191,"83,9455368538455","9,20321652049711","5,64319957159831","2,208047054059004"
192,"83,7579244112272","9,29879679791044","5,70701573894529","2,2362630519169957"
193,"83,5686143942465","9,395118846912034","5,771468628229669","2,264798130611722"
194,"83,37759909274907","9,492182959940346","5,83656247355764","2,2936554737528705"
195,"83,18487094779854","9,589989275291465","5,902301490789255","2,3228382861206587"
196,"82,99042255658813","9,688537773748967","5,968689876088223","2,352349793574605"
197,"82,7942466774096","9,787828275190009","6,0357318044452715","2,382193242955046"
198,"82,59633623467855","9,88786043516917","6,103431428174945","2,4123719019772722"
199,"82,39668432401444","9,988633741481575","6,171792875385761","2,442889059118147"
200,"82,1952842173743","10,090147510706903","6,240820248423648","2,4737480234950757"
201,"81,99212936823817","10,192400884735964","6,310517622288598","2,5049521247371938"
202,"81,7872134168452","10,295392827281567","6,380889043024515","2,536504712848637"
203,"81,58053019547845","10,399122120375505","6,451938526082208","2,5684091580637594"
204,"81,3720737337967","10,503587360853501","6,523670054655553","2,6006688506941704"
205,"81,1618382642116","10,608786956830071","6,59608757799081","2,633287200967448"
206,"80,94981822730804","10,714719124165322","6,669195009669156","2,666267638857402"
207,"80,73600827730598","10,821381882925724","6,742996225862464","2,699613613905748"
208,"80,5204032875614","10,92877305384105","6,817495063562408","2,73332859503506"
209,"80,30299835610437","11,03689025475967","6,892695318783006","2,7674160703528723"
210,"80,08378881121195","11,145730897104494","6,968600744736688","2,8018795469467874"
211,"79,86277021701348","11,255292182331923","7,04521504998405","2,836722550670471"
212,"79,63993837912582","11,365571098396256","7,122541896557449","2,8719486259203912"
213,"79,41528935031609","11,476564416222027","7,200584898058624","2,9075613354031784"
214,"79,18881943618902","11,588268686186874","7,279347617730552","2,9435642598934715"
215,"78,96052520089646","11,700680234617568","7,358833566503767","2,979960997982124"
216,"78,73040347286592","11,813795160301938","7,439046201017424","3,016755165814643"
217,"78,49845135054537","11,92760933101947","7,519988921615357","3,0539503968197304"
218,"78,26466620816119","12,04211838009346","7,601665070317475","3,091550341427807"
219,"78,02904570148608","12,157317702967628","7,684077928766823","3,1295586667793946"
220,"77,7915877736138","12,27320245381024","7,767230716152665","3,1679790564232286"
221,"77,55229066073717","12,389767542148771","7,851126587110004","3,206815210003992"
222,"77,31115289792616","12,507007629538293","7,935768629595942","3,246070842939542"
223,"77,0681733249023","12,624917126266775","8,021159862743344","3,285749686087522"
224,"76,8233510918058","12,743490188100603","8,107303234692296","3,3258554854012385"
225,"76,57668566495174","12,862720713073656","8,194201620399841","3,3663920015747"
226,"76,3281768325713","12,982602338323353","8,281857819428579","3,4073630096766996"
227,"76,07782471053424","13,103128436977174","8,370274553714669","3,4487722987738425"
228,"75,82562974804848","13,224292115093165","8,459454465315869","3,4906236715424157"
229,"75,57159273333264","13,346086208658082","8,549400114140221","3,5329209438689952"
230,"75,31571479925735","13,468503280646793","8,640113975656101","3,5756679444396964"
231,"75,05799742895098","13,591535618146699","8,731598438584289","3,618868514317977"
232,"74,79844246136528","13,715175229550931","8,823855802572835","3,6625265065108987"
233,"74,53705209679651","13,839413841824186","8,916888275855479","3,706645785523763"
234,"74,27382890235741","13,964242897845054","9,010697972894445","3,7512302269030404"
235,"74,0087758173952","14,089653553828812","9,105286912008424","3,7962837167675128"
236,"73,74189615885109","14,21563667683464","9,200657012986671","3,8418101513275547"
237,"73,4731936265561","14,34218284236129","9,296810094690084","3,887813436392488"
238,"73,20267230845847","14,469282332035295","9,393747872640246","3,934297486865938"
239,"72,93033668577762","14,596925131395798","9,491471956597398","3,981266226229139"
240,"72,65619163807929","14,725100927780163","9,589983848128368","4,028723586012126"
241,"72,38024244826714","14,853799108314519","9,689284938165528","4,076673505252768"
242,"72,10249480748506","14,983008758013458","9,789376504557845","4,125119929943596"
243,"71,8229548199253","15,112718657993085","9,89025970961519","4,174066812466385"
244,"71,54162900753678","15,242917283801678","9,991935597647045","4,22351811101446"
245,"71,25852431462825","15,373592803872201","10,094405092496826","4,273477789002696"
246,"70,97364811236076","15,50473307810096","10,197668995073064","4,32394981446518"
247,"70,68700820312407","15,636325656556643","10,301727980878708","4,3749381594405445"
248,"70,3986128247911","15,768357778324038","10,406582597539881","4,426446799344938"
249,"70,10847065484519","15,900816370486707","10,512233262335421","4,478479712332637"
250,"69,81659081437417","16,03368804725286","10,618680259728611","4,531040878644315"
251,"69,52298287192579","16,166959109228706","10,725923738902496","4,584134279942957"
252,"69,22765684721874","16,300615542843467","10,833963711300271","4,63776389863747"
253,"68,93062321470345","16,434643019930327","10,942800048172204","4,6919337171939715"
254,"68,63189290696705","16,56902689746742","11,052432478130648","4,746647717434833"
255,"68,33147731797673","16,70375221748306","11,16286058471467","4,801909879825486"
256,"68,02938830615568","16,838803707129287","11,274083803965926","4,857724182749059"
257,"67,72563819728592","16,974165778927752","11,386101422017388","4,9140946017688885"
258,"67,42023978723239","17,109822531192002","11,498912572696579","4,971025108878975"
259,"67,11320634448244","17,245757748630034","11,612516235145018","5,028519671742458"
260,"66,80455161249513","17,381954903131035","11,726911231455592","5,086582252918183"
261,"66,49428981185477","17,51839715474009","11,842096224329625","5,145216809075461"
262,"66,18243564222291","17,65506735282455","11,958069714755378","5,20442729019711"
263,"65,8690042840835","17,791948037435713","12,074830039709846","5,264217638770886"
264,"65,55401140027548","17,929021440869366","12,192375369885653","5,324591788969435"
265,"65,23747313730759","18,06626948942856","12,310703707444919","5,385553665818864"
266,"64,91940612644984","18,203673805392015","12,429812883801981","5,4471071843560885"
267,"64,59982748459664","18,34121570919129","12,549700557436891","5,509256248775098"
268,"64,27875481489615","18,47887622179988","12,670364211741619","5,572004751562282"
269,"63,95620620714091","18,61663606733712","12,79180115290091","5,63535657262099"
270,"63,6322002379149","18,754475675889758","12,914008507809775","5,699315578385495"
271,"63,3067559704919","18,892375186553867","13,036983222029624","5,763885620924544"
272,"62,97989295448064","19,03031445069959","13,160722057785016","5,829070537034692"
273,"62,651631225212135","19,168273035461098","13,285221592003086","5,894874147323617"
